Content,Video title,Video publish time,Duration,Views,Watch time (hours),Subscribers,Estimated revenue (USD),Impressions,Impressions click-through rate (%)
6YiQhRI2ZCg,재미로 하는 Vibe Coding - 지금까지 배운 저만의 Vibe Coding Methods를 정리해 보겠습니다. 지난주 만든 앱 테스트와 MCP 공부도 계획하고 있습니다.,"Sep 1, 2025",7701,167,20.9988,1,0.437,7203,1.57
BRs5ZUMDYvw,"재미로 하는 Vibe Coding - 쉬고 싶은 Big Tech 직원들, Vibe로 MCP 공부 계속, Vibe Learning  AI4PKM","Nov 24, 2025",10811,117,20.9015,1,0.278,5083,1.55
TNAXWwMu5Ew,Multi-Agent Network - 오늘은 과연 Agent 가 어떻게 생겨 먹었는지 보여드립니다.,"Dec 7, 2024",785,366,20.6919,2,0.046,7989,3.33
SkeQinoBkDw,AI-powered PKM 실습 | AI와 PKM 의 만남. 프로그래밍 언어 없이 일상 언어만으로 앱 개발. 직접 확인하세요.,"Nov 6, 2025",2576,321,20.508,7,0.917,3723,3.63
4NC8ZAZSMbE,재미로 하는 Vibe Coding - 오늘은 동영상 편집 Skill을 만들어 봅니다.,"Jan 19, 2026",7125,172,20.07,5,0.751,6878,1.76
6MqhRYORFvM,"재미로 하는 Vibe Coding - 🚀 지금까지 개발한 앱을 Publish 해 보겠습니다. - AWS, Gemini CLI, GitHub Copilot, Cursor AI ...","Jul 28, 2025",7851,254,19.8921,2,0.785,6696,2.36
DwulX845Cvs,DL Basic 05 - CNN이 AI 혁명의 시발점 아닙니까?,"Mar 2, 2024",942,216,19.6984,7,0.039,5467,2.14
z4bnY7lEOP0,추론 방법론 비교 최종회 - 최강 AI 추론 모델들의 답변은? p.s. 일론 머스크 때문에 순위를 바꾼 사연,"Feb 23, 2025",1113,472,19.6814,3,0.037,6358,2.97
KHlBJNj-l4g,재미로 하는 Vibe Coding - 주중 작업한 홈페이지 개발 마무리 해 봅니다. 그리고 지난주에 이어 VibeLearn AI 영어 버전 작업도 해 보겠습니다.,"Feb 24, 2026",10820,150,19.5625,8,0.319,6474,1.92
BFeeonplcxA,재미로 하는 Vibe Coding - 누구나 참여 가능합니다. 코딩 모르셔도 개발에 참여 하실 수 있습니다.,"May 12, 2025",4967,297,19.3324,7,0.016,9515,2.3
do9kAMXSFOc,APEX : Oracle의 야심찬 Vibe Coding Tool 탑재 - DB Modeling 부터 App 개발까지 Vibe로 끝~~~,"Aug 17, 2025",1854,303,19.1909,8,1.184,5724,3.13
CUo4unnKPCM,🍄 시애틀 송이버섯과 🤖 AI 이야기 🚀 그리고 앞으로의 계획,"Nov 11, 2025",1850,246,19.101,3,1.482,1709,3.22
NBM7_wcbVyA,(속보) 미국 시애틀 지역 Bomb Cyclone (태풍) 피해 및 마이크로소프트 본사 상황 생생 중계,"Nov 22, 2024",938,775,18.8264,0,0.021,4903,1.82
YN1N0oLoDdI,AI in Action - 오늘은 GOBI CLI 학습 위주로 진행 합니다. 동영상 transcript 받는 실험 그리고 AI4PKM Story telling 프로젝트 기획도,"Mar 30, 2026",11107,54,18.8141,1,0.245,3203,1.12
VyWi3C06Tvw,Study Group 발표 자료 – Obsidian과 RAG 연동 방법 리서치 결과 발표 – PKM Project | My AI 2nd Brain 🧠,"Jul 1, 2025",813,598,18.5339,15,1.985,8997,2.89
yMlG88KQ7jk,계엄과 AI : 계엄 하의 경찰청장 - 판단을 AI 에게 맡긴다면......,"Dec 14, 2024",250,874,18.3698,3,0.018,20833,2.45
WRJrA41MFts,재미로 하는 Vibe Coding - AI로 코딩 어떻게 하나 직접 확인하세요. 그리고 여러분도 참여하세요. 누구나 환영입니다.,"May 19, 2025",5140,256,18.2928,6,0.215,8156,2.24
AUqgcWsttn8,재미로 하는 Vibe Coding - 개발 프로세스 마무리 CI/CD 세팅을 합니다. GPT 5 의 Vibe Coding 실력을 테스트 해 봅니다.,"Aug 11, 2025",8341,201,18.2509,5,0.596,8746,1.6
Xkt_HYqLAuk,"재미로 하는 Vibe Coding - M6. Custom MCP Server 공부, 추수 감사절 week 에 일어난 일들","Dec 1, 2025",10150,73,18.0616,2,0.277,5073,1.06
33cKGuuPtgk,오늘은 교과서 위주로 공부합니다. LangGraph QuickStart part 3 : Adding Memory to the Chatbot - Checkpointers,"Oct 5, 2024",1361,297,18.0035,6,0.022,9659,2.04
hjfYbty5dHg,AI-powered PKM 이론 |  AI는 PKM을 어떻게 바꾸는가? (Using AI for PKM),"Dec 11, 2025",2535,197,17.9331,1,0.525,4849,2.54
6KJYyAqhwbY,AI in Action - 드디어 Vibe Guiding on GOBI 개발을 시작합니다. OpenAI API 를 사용해 이미지를 만드는 스킬을 만들어 봅니다.,"Apr 27, 2026",11010,85,17.7439,0,0.292,6087,0.97
p9cyzeI9TVo,재미로 하는 Vibe Coding - 지난 시간 질문 하나로 소스코드가 엉망이 됐습니다. 🧠🤔💬🤝 이런 문제 어떻게 해결할 지 같이 고민해 보아요.,"Jul 14, 2025",9115,183,17.7018,6,0.215,6258,1.82
2Vb0455Xchc,"실전 Vibe Coding – AI로 두 달간 공부해 보니, 방법론이 생겼습니다 (CUA_VL)","Dec 29, 2025",2757,175,17.5709,3,0.244,4144,3.02
IGODVcljVvU,"AI in Action - AI를 좀 더 일상에 적용하려면 필요한 것들, 저희 집 잔디 관리 학습 파일럿 방송 하면서 느낀 것, AI 이젠 자영업 비지니스에 활용해 보기","Mar 16, 2026",11727,227,17.3621,1,3.202,13710,1.12
RS-kZ_ZQHJ0,AI에게 ‘생각 좀 해봐’ 했더니… Self Discover 방법으로 AI 의 정확도와 효율성을 높일 수 있습니다.,"Jun 6, 2025",1095,341,17.3166,4,0.532,9593,2.27
Ft8lK2G5IFs,Hierarchical Agent Teams Architecture - Factory Design Pattern으로 쉽게 Supervisor Architecture 구현하기,"Jan 4, 2025",1127,326,17.2532,10,0.022,10366,2.07
33BDCWDItHQ,AI-powered PKM 실습 | Claude Skill로 유튜브 영상 완전 자동 제작! | AI4PKM 운영자가 직접 보여드립니다,"Dec 4, 2025",1771,246,17.2432,4,0.974,4412,2.36
eUMiK6owM1c,AI-powered PKM 실습 | 말만 하면 AI가 실시간으로 정리해 줍니다 (Passive Brainstorming),"Jan 16, 2026",677,670,17.0399,8,0.649,15543,3.07
jmgzSmJV_jU,재미로 하는 Vibe Coding - Regression Testing 과 UI/UX 작업에 대해 공부해 봅시다.,"Jul 7, 2025",7496,244,16.7188,6,0.688,8062,1.98
Wt8lj_loQhk,재미로 하는 Vibe Coding - 참여하셔서 기능을 개선해 주세요. 기여자 명단에 추가 됩니다.,"May 5, 2025",5119,225,16.5933,5,0.031,7193,2
kGliHAdp3Yg,"실전 Vibe Coding - GPT 5 vs Gemini CLI 3개월 걸린 앱을 한번에 개발하라고 시켰더니, 1시간만에 나온 결과가... ㄷㄷㄷ ...","Aug 21, 2025",1774,445,16.5568,7,0.493,12841,1.04
YyEBc1qxwiY,"재미로 하는 Vibe Coding - Vibe로 MCP 공부 계속, 뭔가 패턴이 생겼어요. ft.  시애틀 송이버섯, PKM 공부한 이야기 등등","Nov 10, 2025",11021,101,16.5538,-1,0.7,5213,1.21
F4xtueiglgM,AI in Action - Qwen3-TTS 를 완전 정복 해 보자. 이걸로 유튭 영상 조회수를 끌어 올릴 수 있을까?,"May 18, 2026",11045,119,16.5269,1,1.335,5016,1.57
0qT7cUeC2Lo,"재미로 하는 Vibe Coding - Vibe로 MCP 공부 계속, 폭풍, 대규모 정전, Bootcamp 및 이사 완료 후 첫 라방","Nov 3, 2025",9766,124,16.5226,1,0.604,6829,1.32
